Pos,2P,FT,TRB,AST,STL,PTS
PF,0.54 ,0.5 ,1 ,0 ,0 ,3 
PF,0.67 ,,0 ,0 ,0 ,2 
SF,0.49 ,0.8 ,7 ,1 ,1 ,23 
C,0.48 ,0.7 ,2 ,1 ,0 ,4 
SG,0.50 ,0.8 ,7 ,4 ,1 ,21 
PG,0.47 ,0.8 ,2 ,7 ,2 ,10 
PF,0.58 ,0.7 ,8 ,3 ,1 ,18 
C,0.49 ,0.7 ,3 ,0 ,0 ,5 
SF,0.59 ,0.8 ,6 ,2 ,1 ,16 
PF,0.50 ,0.8 ,3 ,1 ,1 ,3 
C,0.52 ,0.6 ,6 ,2 ,1 ,8 
PG,0.47 ,0.8 ,3 ,11 ,1 ,17 
C,0.50 ,0.7 ,3 ,1 ,0 ,5 
SF,0.51 ,0.6 ,2 ,1 ,0 ,6 
PF,0.50 ,0.8 ,6 ,2 ,1 ,9 
C,0.51 ,0.6 ,3 ,0 ,0 ,4 
SF,0.46 ,0.8 ,3 ,1 ,1 ,9 
C,0.55 ,0.7 ,11 ,2 ,1 ,19 
C,0.41 ,0.5 ,1 ,0 ,0 ,2 
SG,0.53 ,0.8 ,2 ,3 ,2 ,21 
PG,0.50 ,0.6 ,0 ,2 ,0 ,3 
SG,0.30 ,1.0 ,0 ,0 ,0 ,2 
SG,0.33 ,1.0 ,0 ,0 ,0 ,2 
SG,0.30 ,1.0 ,0 ,0 ,0 ,2 
SG,0.48 ,0.9 ,2 ,1 ,0 ,10 
SF,0.54 ,0.6 ,0 ,0 ,0 ,3 
C,0.46 ,1.0 ,0 ,0 ,0 ,2 
PF,0.61 ,0.7 ,3 ,1 ,0 ,5 
PF,0.45 ,0.8 ,2 ,1 ,0 ,4 
SG,0.53 ,0.6 ,4 ,3 ,1 ,8 
PF,0.56 ,0.6 ,3 ,0 ,0 ,4 
PG,0.45 ,0.8 ,2 ,6 ,1 ,10 
SF,0.36 ,0.6 ,0 ,0 ,0 ,2 
SF,0.48 ,0.7 ,4 ,3 ,1 ,14 
SG,0.47 ,0.8 ,2 ,2 ,1 ,8 
PG,0.49 ,0.7 ,2 ,3 ,1 ,12 
PG,0.47 ,0.8 ,3 ,4 ,2 ,9 
SF,0.37 ,0.7 ,1 ,0 ,0 ,4 
PF,0.54 ,0.8 ,4 ,1 ,1 ,7 
C,0.54 ,0.7 ,2 ,1 ,0 ,6 
C,0.45 ,0.7 ,9 ,2 ,1 ,18 
PF,0.49 ,0.6 ,7 ,1 ,1 ,11 
C,0.37 ,0.8 ,1 ,0 ,0 ,3 
C,0.33 ,0.8 ,0 ,0 ,0 ,2 
C,0.50 ,,0 ,0 ,0 ,2 
C,0.38 ,0.8 ,0 ,0 ,0 ,6 
C,0.52 ,0.6 ,7 ,1 ,0 ,9 
PG,0.49 ,0.7 ,1 ,2 ,1 ,6 
PG,0.50 ,0.5 ,0 ,0 ,0 ,2 
PG,0.49 ,0.7 ,1 ,2 ,1 ,6 
PF,0.49 ,0.8 ,9 ,2 ,1 ,19 
C,0.58 ,0.7 ,12 ,4 ,1 ,22 
PG,0.33 ,0.9 ,0 ,0 ,0 ,3 
C,0.52 ,0.7 ,11 ,2 ,1 ,21 
SF,0.48 ,0.7 ,1 ,1 ,0 ,5 
PF,0.60 ,0.0 ,0 ,0 ,0 ,3 
C,0.50 ,0.8 ,5 ,1 ,0 ,7 
SF,0.44 ,0.8 ,1 ,1 ,0 ,3 
SG,0.50 ,0.8 ,2 ,2 ,1 ,11 
PF,0.48 ,0.8 ,5 ,2 ,1 ,11 
SF,0.48 ,0.8 ,5 ,3 ,1 ,23 
PG,0.54 ,0.9 ,2 ,6 ,1 ,12 
C,0.50 ,0.9 ,11 ,4 ,1 ,19 
SG,0.55 ,0.8 ,2 ,1 ,0 ,10 
PF,0.56 ,0.6 ,8 ,1 ,1 ,8 
SG,0.48 ,0.8 ,2 ,5 ,1 ,16 
SG,0.43 ,0.7 ,0 ,0 ,0 ,3 
PG,0.49 ,0.8 ,2 ,7 ,1 ,10 
SF,0.55 ,0.7 ,1 ,0 ,0 ,3 
SG,0.48 ,0.8 ,2 ,1 ,0 ,7 
C,0.49 ,0.8 ,7 ,2 ,1 ,12 
PG,0.46 ,0.9 ,1 ,3 ,0 ,7 
SG,0.52 ,0.9 ,1 ,1 ,0 ,7 
SG,0.49 ,0.8 ,1 ,1 ,0 ,5 
PG,0.44 ,0.8 ,2 ,4 ,1 ,12 
PG,0.40 ,0.8 ,1 ,2 ,0 ,9 
PG,0.46 ,0.8 ,1 ,3 ,0 ,16 
SF,0.44 ,0.5 ,0 ,0 ,0 ,2 
PG,0.47 ,0.7 ,4 ,11 ,3 ,21 
SG,0.47 ,0.7 ,2 ,2 ,1 ,6 
SG,0.54 ,0.8 ,1 ,0 ,0 ,13 
C,0.52 ,0.7 ,9 ,1 ,1 ,10 
C,0.53 ,0.7 ,9 ,4 ,1 ,16 
SF,0.48 ,0.8 ,4 ,2 ,1 ,9 
PG,0.44 ,0.8 ,1 ,1 ,0 ,3 
C,0.43 ,0.7 ,2 ,0 ,0 ,4 
PF,0.53 ,0.5 ,1 ,0 ,0 ,3 
SG,0.53 ,0.8 ,2 ,5 ,1 ,20 
SF,0.50 ,,0 ,0 ,0 ,2 
SF,1.00 ,,0 ,0 ,0 ,1 
SF,0.43 ,,0 ,0 ,0 ,3 
SF,0.46 ,0.8 ,4 ,3 ,1 ,21 
SG,0.51 ,0.8 ,2 ,2 ,1 ,8 
SF,0.38 ,0.8 ,1 ,1 ,0 ,3 
SF,0.46 ,0.7 ,4 ,1 ,1 ,9 
PG,0.45 ,0.8 ,2 ,5 ,1 ,10 
PF,0.56 ,0.9 ,5 ,3 ,1 ,29 
PF,0.51 ,0.7 ,1 ,0 ,0 ,3 
SF,0.44 ,0.8 ,3 ,1 ,0 ,11 
SF,0.52 ,0.6 ,5 ,2 ,1 ,8 
C,0.52 ,0.6 ,3 ,1 ,0 ,4 
PG,0.42 ,0.8 ,2 ,4 ,2 ,8 
PG,0.35 ,0.9 ,0 ,1 ,0 ,3 
SF,0.49 ,0.3 ,1 ,1 ,0 ,4 
C,0.56 ,0.6 ,6 ,2 ,1 ,12 
PG,0.41 ,0.5 ,0 ,1 ,0 ,2 
C,0.47 ,0.6 ,5 ,1 ,0 ,4 
SF,0.46 ,0.8 ,2 ,1 ,0 ,5 
PF,0.22 ,1.0 ,0 ,0 ,0 ,1 
C,0.36 ,0.3 ,1 ,0 ,0 ,1 
SG,0.48 ,0.8 ,1 ,2 ,1 ,7 
PG,0.47 ,0.7 ,2 ,8 ,1 ,8 
SF,0.47 ,0.6 ,1 ,0 ,0 ,5 
SF,0.48 ,0.6 ,1 ,0 ,0 ,7 
SF,0.41 ,0.4 ,0 ,0 ,0 ,2 
SF,0.44 ,,0 ,0 ,0 ,1 
C,0.49 ,0.8 ,3 ,0 ,0 ,5 
SG,0.46 ,0.7 ,4 ,2 ,1 ,12 
SF,0.52 ,0.7 ,4 ,3 ,1 ,17 
SF,0.48 ,0.8 ,7 ,2 ,1 ,22 
C,0.48 ,0.7 ,6 ,1 ,0 ,8 
PF,0.54 ,0.6 ,13 ,2 ,1 ,16 
PG,0.46 ,0.8 ,3 ,8 ,2 ,19 
C,0.48 ,0.7 ,7 ,3 ,1 ,15 
SG,0.44 ,0.8 ,0 ,1 ,0 ,4 
SG,0.46 ,0.8 ,3 ,6 ,2 ,15 
PG,0.47 ,0.8 ,2 ,6 ,1 ,10 
PF,0.47 ,0.7 ,4 ,1 ,1 ,7 
PF,0.42 ,0.9 ,0 ,0 ,0 ,4 
PF,0.48 ,0.6 ,4 ,1 ,1 ,7 
SF,0.31 ,0.8 ,1 ,0 ,0 ,8 
SF,0.49 ,0.9 ,2 ,1 ,0 ,5 
PG,0.00 ,0.5 ,0 ,0 ,0 ,0 
SG,0.51 ,0.6 ,1 ,1 ,0 ,5 
SG,0.50 ,0.8 ,3 ,2 ,1 ,14 
SG,0.48 ,0.8 ,2 ,2 ,1 ,15 
SF,0.53 ,0.7 ,5 ,2 ,1 ,19 
PF,0.56 ,0.8 ,6 ,3 ,1 ,15 
C,0.60 ,0.7 ,8 ,3 ,1 ,22 
PF,0.52 ,0.9 ,6 ,4 ,1 ,15 
SF,0.52 ,0.8 ,6 ,3 ,1 ,26 
SG,0.55 ,0.9 ,3 ,5 ,2 ,13 
C,0.48 ,0.7 ,3 ,0 ,0 ,5 
SF,0.42 ,0.6 ,1 ,0 ,0 ,3 
SF,0.43 ,0.8 ,1 ,0 ,0 ,6 
PG,0.50 ,0.7 ,4 ,9 ,2 ,10 
PF,0.45 ,0.7 ,4 ,0 ,0 ,5 
PF,0.49 ,0.8 ,7 ,2 ,1 ,15 
SF,0.49 ,0.8 ,7 ,3 ,1 ,13 
SF,0.59 ,0.8 ,6 ,3 ,1 ,10 
PF,0.47 ,0.5 ,4 ,0 ,0 ,7 
PF,0.55 ,0.7 ,9 ,2 ,1 ,14 
C,0.51 ,0.8 ,4 ,1 ,1 ,7 
SF,0.53 ,0.9 ,11 ,7 ,2 ,29 
SG,0.52 ,0.6 ,2 ,3 ,1 ,21 
SG,0.51 ,0.8 ,4 ,4 ,1 ,20 
SF,0.37 ,0.5 ,1 ,0 ,0 ,3 
C,0.54 ,0.7 ,8 ,3 ,1 ,10 
SG,0.52 ,0.7 ,2 ,2 ,1 ,5 
PG,0.45 ,0.8 ,1 ,2 ,1 ,5 
C,0.51 ,0.7 ,3 ,1 ,0 ,5 
SG,0.53 ,0.9 ,0 ,0 ,0 ,7 
SG,0.38 ,1.0 ,0 ,0 ,0 ,4 
SG,0.60 ,0.9 ,0 ,0 ,0 ,10 
C,0.50 ,0.7 ,3 ,1 ,0 ,5 
SF,0.47 ,0.9 ,3 ,2 ,1 ,14 
C,0.41 ,0.6 ,3 ,0 ,0 ,3 
SF,0.47 ,0.7 ,4 ,2 ,1 ,7 
C,0.45 ,0.7 ,3 ,1 ,0 ,3 
PG,0.39 ,0.6 ,1 ,2 ,1 ,2 
SG,0.39 ,0.7 ,0 ,0 ,0 ,4 
PG,0.44 ,0.8 ,1 ,3 ,0 ,3 
PF,0.54 ,0.7 ,5 ,1 ,1 ,7 
SF,0.50 ,0.8 ,1 ,0 ,0 ,6 
SG,0.40 ,0.9 ,0 ,0 ,0 ,2 
PF,0.53 ,0.8 ,3 ,1 ,0 ,8 
PF,0.53 ,0.7 ,4 ,1 ,0 ,10 
SF,0.42 ,1.0 ,1 ,0 ,0 ,3 
SG,0.47 ,0.8 ,1 ,2 ,1 ,8 
SG,0.20 ,1.0 ,0 ,0 ,0 ,1 
C,0.49 ,0.7 ,3 ,0 ,0 ,3 
C,0.33 ,0.6 ,2 ,0 ,0 ,2 
PF,0.49 ,0.8 ,7 ,3 ,1 ,22 
PG,0.58 ,0.9 ,3 ,6 ,2 ,13 
SG,0.44 ,0.8 ,1 ,1 ,0 ,3 
SG,0.35 ,0.9 ,0 ,0 ,0 ,3 
PG,0.47 ,0.8 ,2 ,3 ,1 ,7 
PG,0.46 ,0.8 ,3 ,5 ,2 ,8 
PG,0.49 ,0.9 ,1 ,2 ,1 ,8 
PF,0.50 ,0.7 ,4 ,1 ,0 ,5 
PF,0.44 ,0.6 ,1 ,0 ,0 ,6 
PF,0.53 ,0.8 ,3 ,0 ,0 ,4 
C,0.47 ,0.5 ,0 ,0 ,0 ,6 
SG,0.51 ,0.9 ,3 ,5 ,1 ,9 
C,0.47 ,0.7 ,8 ,1 ,0 ,12 
C,0.49 ,0.7 ,5 ,2 ,0 ,9 
PG,0.47 ,0.7 ,0 ,0 ,0 ,5 
C,0.52 ,0.8 ,6 ,1 ,1 ,16 
PF,0.50 ,0.7 ,9 ,3 ,1 ,24 
C,0.49 ,0.6 ,5 ,1 ,1 ,6 
SG,0.48 ,0.8 ,3 ,2 ,1 ,16 
SF,0.53 ,0.8 ,4 ,2 ,1 ,27 
PG,0.53 ,0.9 ,2 ,7 ,1 ,10 
SF,0.44 ,0.8 ,2 ,1 ,0 ,6 
SF,0.20 ,0.8 ,0 ,0 ,0 ,2 
SF,0.45 ,0.8 ,2 ,1 ,0 ,6 
PG,0.44 ,0.9 ,1 ,5 ,1 ,12 
SG,0.46 ,0.9 ,0 ,1 ,0 ,15 
C,0.57 ,0.7 ,2 ,1 ,0 ,14 
SF,0.52 ,0.7 ,3 ,3 ,1 ,9 
C,0.64 ,0.7 ,8 ,1 ,0 ,11 
SF,0.42 ,0.8 ,1 ,0 ,0 ,16 
PG,0.51 ,0.8 ,2 ,6 ,1 ,15 
